序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
71,1699941106,1699941103,1699941103,-223.044,116.491567,39.729127,22.9,8.76,46,60.3,696E636830303000,57,62,97,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,SPAT,normal
72,1699941106,1699941103,1699941103,-222.305,116.491571,39.729129,22.9,8.76,46,60.3,696E636830303000,59,63,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,SPAT,normal
73,1699941106,1699941103,1699941103,-240.87,116.491572,39.729129,22.8,8.741,47,57.44,,60,64,98,3619,8000001,7,8,-119,-90,3,0,5,-119,55140,47,4264,SPAT,normal
75,1699941106,1699941103,1699941103,-209.547,116.491581,39.729134,22.9,8.76,46,60.3,696E636830303000,63,65,100,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
76,1699941106,1699941103,1699941104,-221.507,116.491584,39.729135,22.9,8.76,46,60.3,696E636830303000,65,66,101,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,SPAT,normal
77,1699941107,1699941103,1699941104,-228.641,116.491587,39.729137,22.9,8.76,46,60.3,,66,67,101,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,SPAT,normal
78,1699941107,1699941104,1699941104,-233.251,116.491589,39.729138,22.8,8.741,47,57.44,696E636830303000,67,68,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,SPAT,normal
79,1699941107,1699941104,1699941104,-236.147,116.491591,39.729139,22.8,8.741,47,57.44,696E636830303000,68,69,101,3619,8000001,7,8,-123,-92,-1,1,5,-123,55140,47,4264,SPAT,normal
80,1699941107,1699941104,1699941104,-236.467,116.491594,39.72914,22.7,8.778,47,57.45,696E636830303000,69,70,101,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,SPAT,normal
82,1699941107,1699941104,1699941105,-209.635,116.491609,39.729147,22.8,8.741,47,57.44,696E636830303000,75,71,106,3619,8000001,7,8,-123,-92,-1,0,5,-123,55140,47,4264,SPAT,normal
83,1699941108,1699941105,1699941105,-222.617,116.491614,39.72915,22.8,8.741,47,57.44,696E636830303000,77,72,107,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,SPAT,normal
84,1699941108,1699941105,1699941105,-240.73,116.491616,39.72915,22.7,8.797,47,57.67,,78,73,107,3619,8000001,7,8,-120,-91,3,2,5,-120,55140,47,4264,SPAT,normal
85,1699941108,1699941105,1699941105,-220.176,116.49162,39.729152,22.7,8.797,47,57.67,696E636830303000,80,74,108,3619,8000001,7,8,-122,-91,0,1,5,-122,55140,47,4264,SPAT,normal
